"id" "birth_rate"	"death_rate"	"continent"
"1"	34.1	7.7	"Asia"
"2"	12.9	9.4	"Europe"
"3"	24.3	5.7	"Africa"
"4"	8.9	8.4	"Europe"
"5"	44.1	13.9	"Africa"
"6"	16.5	6.8	"Americas"
"7"	16.8	7.6	"Americas"
"8"	13.7	12.6	"Asia"
"9"	13.2	6.4	"Oceania"
"10"	9.5	9	"Europe"
"11"	17.8	6.3	"Asia"
"12"	15.3	6.1	"Americas"
"13"	15.2	2.2	"Asia"
"14"	20	5.7	"Asia"
"15"	12.7	6.4	"Americas"
"16"	11	13.5	"Europe"
"17"	11.7	9.9	"Europe"
"18"	23.4	4	"Americas"
"19"	36.4	9.6	"Africa"
"20"	19.6	6.5	"Asia"
"21"	9	9.4	"Europe"
"22"	23.6	7.2	"Africa"
"23"	14.9	6.1	"Americas"
"24"	15.5	3.6	"Asia"
"25"	9.6	14.2	"Europe"
"26"	40.9	9.5	"Africa"
"27"	44.7	11.1	"Africa"
"28"	20.1	5.2	"Africa"
"29"	25.7	5.7	"Asia"
"30"	37.3	10.8	"Africa"
"31"	11.3	7.2	"Americas"
"32"	34.2	14	"Africa"
"33"	45.9	13.6	"Africa"
"34"	13.9	5.4	"Americas"
"35"	13.3	7.2	"Asia"
"36"	18.8	4.2	"Americas"
"37"	35.2	8.2	"Africa"
"38"	37.6	10.1	"Africa"
"39"	14.9	5	"Oceania"
"40"	15.1	4.4	"Americas"
"41"	9.5	11.1	"Europe"
"42"	9.5	8.5	"Americas"
"43"	11.5	5.5	"Asia"
"44"	11.1	10	"Europe"
"45"	11.3	9.6	"Europe"
"46"	27.5	8.8	"Africa"
"47"	15.6	7.2	"Americas"
"48"	20.8	5.9	"Americas"
"49"	20.8	5.3	"Americas"
"50"	23.2	6.4	"Africa"
"51"	20.1	6.6	"Americas"
"52"	35.4	11.5	"Africa"
"53"	36.7	6.3	"Africa"
"54"	10.9	11.3	"Europe"
"55"	33	7.2	"Africa"
"56"	20.4	6.9	"Oceania"
"57"	11.2	9.4	"Europe"
"58"	12.3	8.7	"Europe"
"59"	31.9	9	"Africa"
"60"	42.7	8.2	"Africa"
"61"	13.3	11.5	"Asia"
"62"	8.5	10.6	"Europe"
"63"	30.9	8.1	"Africa"
"64"	9.7	9.7	"Europe"
"65"	19.3	6.9	"Americas"
"66"	31	5.2	"Americas"
"67"	36.9	10.1	"Africa"
"68"	37.5	12.3	"Africa"
"69"	20.3	7.9	"Americas"
"70"	25.6	8.6	"Americas"
"71"	25.8	4.5	"Americas"
"72"	9.9	13	"Europe"
"73"	14.5	6.2	"Europe"
"74"	20.4	7.9	"Asia"
"75"	18.8	6.2	"Asia"
"76"	18.8	5.1	"Asia"
"77"	31.1	4.8	"Asia"
"78"	15.4	5.9	"Europe"
"79"	20.3	5.1	"Asia"
"80"	9.2	9.5	"Europe"
"81"	18	7.1	"Americas"
"82"	8.4	9.5	"Asia"
"83"	27	3.7	"Asia"
"84"	20.5	9.7	"Asia"
"85"	34.9	8.3	"Africa"
"86"	23.3	8.2	"Oceania"
"87"	9.6	5.5	"Asia"
"88"	20.6	1.9	"Asia"
"89"	27.1	6.6	"Asia"
"90"	26.8	6.7	"Asia"
"91"	11	14.2	"Europe"
"92"	13.4	4.4	"Asia"
"93"	27.5	14.1	"Africa"
"94"	35.5	8	"Africa"
"95"	20.7	4.2	"Africa"
"96"	11.3	12	"Europe"
"97"	11.6	6.8	"Europe"
"98"	34.7	7	"Africa"
"99"	39.8	9	"Africa"
"100"	17.7	5	"Asia"
"101"	22	3.5	"Asia"
"102"	47.1	11.2	"Africa"
"103"	9.2	7.5	"Europe"
"104"	27.2	6.6	"Oceania"
"105"	34.1	7.8	"Africa"
"106"	11.5	7.4	"Africa"
"107"	18.4	5.3	"Americas"
"108"	6.8	8.7	"Europe"
"109"	22.7	6.7	"Asia"
"110"	11.6	9.5	"Europe"
"111"	22.7	6.4	"Africa"
"112"	38.9	11.8	"Africa"
"113"	17.2	8.4	"Asia"
"114"	26	5.7	"Africa"
"115"	26.4	3.5	"Oceania"
"116"	21	6.6	"Asia"
"117"	10.7	8.3	"Europe"
"118"	13.8	6.3	"Oceania"
"119"	22.7	4.8	"Americas"
"120"	49.7	10.2	"Africa"
"121"	41.2	11.9	"Africa"
"122"	NA	5.9	"Oceania"
"123"	12.4	8.1	"Europe"
"124"	20.9	2.8	"Asia"
"125"	25.2	7.3	"Asia"
"126"	10.9	5.9	"Oceania"
"127"	19.4	5	"Americas"
"128"	28.9	7.7	"Oceania"
"129"	23.7	4.8	"Americas"
"130"	19.7	4.4	"Americas"
"131"	24.4	5.9	"Asia"
"132"	10.8	10	"Europe"
"133"	8.7	9.1	"Europe"
"134"	11	1.3	"Asia"
"135"	10.3	11.8	"Europe"
"136"	11.8	14.8	"Europe"
"137"	35.2	6.4	"Africa"
"138"	13.8	8.5	"Americas"
"139"	15.4	7	"Americas"
"140"	16.3	6.5	"Americas"
"141"	26.2	5.2	"Oceania"
"142"	8.8	10.2	"Europe"
"143"	33.9	6.5	"Africa"
"144"	19.4	3.2	"Asia"
"145"	37.7	7	"Africa"
"146"	9.7	11.9	"Europe"
"147"	16.6	6.7	"Africa"
"148"	36.6	16.8	"Africa"
"149"	9.9	4.5	"Asia"
"150"	10.7	9.4	"Europe"
"151"	10	9.1	"Europe"
"152"	30.8	5.4	"Oceania"
"153"	43.8	12.7	"Africa"
"154"	20.9	11.1	"Africa"
"155"	36.1	11.1	"Africa"
"156"	10.4	8.2	"Europe"
"157"	17.9	6.6	"Asia"
"158"	33.5	7.8	"Africa"
"159"	17.7	4.6	"Americas"
"160"	29.9	11.8	"Africa"
"161"	12	9.6	"Europe"
"162"	10.4	7.7	"Europe"
"163"	24	3.5	"Asia"
"164"	33	6	"Asia"
"165"	10.2	7.6	"Asia"
"166"	35.8	6	"Asia"
"167"	36.4	9.6	"Africa"
